A0,A1,A2,B0,B1,B2,C0,C1,C2,win
0,b,b,1,0,0,1,1,1,1
0,b,b,0,1,0,1,1,1,1
0,b,b,0,0,1,1,1,1,1
0,b,b,0,b,b,1,1,1,1
0,b,b,b,0,b,1,1,1,1
0,b,b,b,b,0,1,1,1,1
b,1,1,0,1,0,1,0,b,1
b,1,1,0,1,0,1,b,0,1
b,1,1,0,1,0,0,1,b,1
b,1,1,0,1,0,b,1,0,1
b,1,1,0,1,b,1,0,0,1
b,1,1,0,1,b,0,1,0,1
b,1,1,0,0,1,0,b,1,1
b,1,1,0,0,1,b,0,1,1
b,1,1,0,b,1,0,0,1,1
b,1,1,b,1,0,1,0,0,1
b,1,1,b,1,0,0,1,0,1
b,1,1,b,0,1,0,0,1,1
b,1,0,1,1,1,0,0,b,1
b,1,0,1,1,1,0,b,0,1
b,1,0,1,1,1,b,0,0,1
b,1,0,1,1,0,0,1,b,1
b,1,0,1,1,b,0,1,0,1
b,1,0,0,1,1,0,1,b,1
b,1,0,0,1,1,b,1,0,1
b,1,0,0,1,0,1,1,b,1
b,1,0,0,1,0,b,1,1,1
b,1,0,0,1,b,1,1,0,1
b,1,0,0,1,b,0,1,1,1
b,1,0,0,1,b,b,1,b,1
b,1,0,0,0,b,1,1,1,1
b,1,0,0,b,0,1,1,1,1
b,1,0,b,1,1,0,1,0,1
b,1,0,b,1,0,0,1,1,1
b,1,0,b,1,0,b,1,b,1
b,1,0,b,1,b,0,1,b,1
b,1,0,b,1,b,b,1,0,1
b,1,0,b,0,0,1,1,1,1
b,1,b,1,1,0,0,1,0,1
b,1,b,0,1,1,0,1,0,1
b,1,b,0,1,0,1,1,0,1
b,1,b,0,1,0,0,1,1,1
b,1,b,0,1,0,b,1,b,1
b,1,b,0,1,b,0,1,b,1
b,1,b,0,1,b,b,1,0,1
b,1,b,b,1,0,0,1,b,1
b,1,b,b,1,0,b,1,0,1
b,1,b,b,1,b,0,1,0,1
b,0,1,1,1,1,0,0,b,1
b,0,1,1,1,1,0,b,0,1
b,0,1,1,1,1,b,0,0,1
b,0,1,1,1,0,1,0,b,1
b,0,1,1,1,0,1,b,0,1
b,0,1,1,1,b,1,0,0,1
b,0,1,1,0,1,0,b,1,1
b,0,1,1,b,1,0,0,1,1
b,0,1,0,1,1,1,0,b,1
b,0,1,0,1,1,1,b,0,1
b,0,1,0,1,1,0,b,1,1
b,0,1,0,1,1,b,0,1,1
b,0,1,0,1,0,1,1,b,1
b,0,1,0,1,0,1,b,1,1
b,0,1,0,1,b,1,1,0,1
b,0,1,0,1,b,1,0,1,1
b,0,1,0,1,b,1,b,b,1
b,0,1,0,0,1,1,b,1,1
b,0,1,0,0,1,b,1,1,1
b,0,1,0,0,b,1,1,1,1
b,0,1,0,b,1,1,0,1,1
b,0,1,0,b,1,0,1,1,1
b,0,1,0,b,1,b,b,1,1
b,0,1,0,b,0,1,1,1,1
b,0,1,b,1,1,1,0,0,1
b,0,1,b,1,1,0,0,1,1
b,0,1,b,1,0,1,1,0,1
b,0,1,b,1,0,1,0,1,1
b,0,1,b,1,0,1,b,b,1
b,0,1,b,1,b,1,0,b,1
b,0,1,b,1,b,1,b,0,1
b,0,1,b,0,1,0,1,1,1
b,0,1,b,0,1,b,b,1,1
b,0,1,b,0,0,1,1,1,1
b,0,1,b,b,1,0,b,1,1
b,0,1,b,b,1,b,0,1,1
b,0,0,1,1,1,1,0,b,1
b,0,0,1,1,1,1,b,0,1
b,0,0,1,1,1,0,1,b,1
b,0,0,1,1,1,0,b,1,1
b,0,0,1,1,1,b,1,0,1
b,0,0,1,1,1,b,0,1,1
b,0,0,1,1,1,b,b,b,1
b,0,0,1,0,b,1,1,1,1
b,0,0,1,b,0,1,1,1,1
b,0,0,0,1,b,1,1,1,1
b,0,0,0,b,1,1,1,1,1
b,0,0,b,1,0,1,1,1,1
b,0,0,b,0,1,1,1,1,1
b,0,0,b,b,b,1,1,1,1
b,0,b,1,1,1,1,0,0,1
b,0,b,1,1,1,0,1,0,1
b,0,b,1,1,1,0,0,1,1
b,0,b,1,1,1,0,b,b,1
b,0,b,1,1,1,b,0,b,1
b,0,b,1,1,1,b,b,0,1
b,0,b,1,0,0,1,1,1,1
b,0,b,0,1,0,1,1,1,1
b,0,b,0,0,1,1,1,1,1
b,0,b,0,b,b,1,1,1,1
b,0,b,b,0,b,1,1,1,1
b,0,b,b,b,0,1,1,1,1
b,b,1,1,1,0,1,0,0,1
b,b,1,1,0,1,0,0,1,1
b,b,1,0,1,1,1,0,0,1
b,b,1,0,1,1,0,0,1,1
b,b,1,0,1,0,1,1,0,1
b,b,1,0,1,0,1,0,1,1
b,b,1,0,1,0,1,b,b,1
b,b,1,0,1,b,1,0,b,1
b,b,1,0,1,b,1,b,0,1
b,b,1,0,0,1,1,0,1,1
b,b,1,0,0,1,0,1,1,1
b,b,1,0,0,1,b,b,1,1
b,b,1,0,b,1,0,b,1,1
b,b,1,0,b,1,b,0,1,1
b,b,1,b,1,0,1,0,b,1
b,b,1,b,1,0,1,b,0,1
b,b,1,b,1,b,1,0,0,1
b,b,1,b,0,1,0,b,1,1
b,b,1,b,0,1,b,0,1,1
b,b,1,b,b,1,0,0,1,1
b,b,0,1,1,1,1,0,0,1
b,b,0,1,1,1,0,1,0,1
b,b,0,1,1,1,0,0,1,1
b,b,0,1,1,1,0,b,b,1
b,b,0,1,1,1,b,0,b,1
b,b,0,1,1,1,b,b,0,1
b,b,0,1,0,0,1,1,1,1
b,b,0,0,1,0,1,1,1,1
b,b,0,0,0,1,1,1,1,1
b,b,0,0,b,b,1,1,1,1
b,b,0,b,0,b,1,1,1,1
b,b,0,b,b,0,1,1,1,1
b,b,b,1,1,1,0,0,b,1
b,b,b,1,1,1,0,b,0,1
b,b,b,1,1,1,b,0,0,1
b,b,b,0,0,b,1,1,1,1
b,b,b,0,b,0,1,1,1,1
b,b,b,b,0,0,1,1,1,1
1,1,0,1,1,0,0,b,0,0
1,1,0,1,1,0,b,0,0,0
1,1,0,1,1,b,0,0,0,0
1,1,0,1,0,1,0,0,b,0
1,1,0,1,0,1,0,b,0,0
1,1,0,1,0,0,0,1,b,0
1,1,0,1,0,0,0,b,1,0
1,1,0,1,0,0,b,1,0,0
1,1,0,1,0,b,0,1,0,0
1,1,0,1,0,b,0,0,1,0
1,1,0,1,0,b,0,b,b,0
1,1,0,1,b,1,0,0,0,0
1,1,0,1,b,0,0,1,0,0
1,1,0,1,b,0,b,b,0,0
1,1,0,0,1,0,1,b,0,0
1,1,0,0,0,1,0,1,b,0
1,1,0,0,0,1,0,b,1,0
1,1,0,0,0,0,1,1,b,0
1,1,0,0,0,0,1,b,1,0
1,1,0,0,0,0,b,1,1,0
1,1,0,0,0,b,0,1,1,0
1,1,0,0,b,0,1,1,0,0
1,1,0,b,1,1,0,0,0,0
1,1,0,b,1,0,1,0,0,0
1,1,0,b,1,0,b,b,0,0
1,1,0,b,0,1,0,1,0,0
1,1,0,b,0,1,0,0,1,0
1,1,0,b,0,1,0,b,b,0
1,1,0,b,0,0,1,1,0,0
1,1,0,b,0,0,0,1,1,0
1,1,0,b,0,b,0,1,b,0
1,1,0,b,0,b,0,b,1,0
1,1,0,b,b,0,1,b,0,0
1,1,0,b,b,0,b,1,0,0
1,1,b,1,1,0,0,0,0,0
1,1,b,1,0,1,0,0,0,0
1,1,b,1,b,b,0,0,0,0
1,1,b,0,1,1,0,0,0,0
1,1,b,0,0,0,1,1,0,0
1,1,b,0,0,0,1,0,1,0
1,1,b,0,0,0,1,b,b,0
1,1,b,0,0,0,0,1,1,0
1,1,b,0,0,0,b,1,b,0
1,1,b,0,0,0,b,b,1,0
1,1,b,b,1,b,0,0,0,0
1,1,b,b,b,1,0,0,0,0
1,0,1,1,1,b,0,0,0,0
1,0,1,1,0,1,0,0,b,0
1,0,1,1,0,1,b,0,0,0
1,0,1,1,0,0,b,0,1,0
1,0,1,1,0,b,0,0,1,0
1,0,1,1,0,b,b,0,b,0
1,0,1,1,b,1,0,0,0,0
1,0,1,0,0,1,1,0,b,0
1,0,1,0,0,0,1,1,b,0
1,0,1,0,0,0,1,b,1,0
1,0,1,0,0,0,b,1,1,0
1,0,1,0,0,b,1,0,1,0
1,0,1,b,1,1,0,0,0,0
1,0,1,b,0,1,1,0,0,0
1,0,1,b,0,1,b,0,b,0
1,0,1,b,0,0,1,0,1,0
1,0,1,b,0,b,1,0,b,0
1,0,1,b,0,b,b,0,1,0
1,0,0,1,1,0,b,1,0,0
1,0,0,1,0,1,0,1,b,0
1,0,0,1,0,1,0,b,1,0
1,0,0,1,0,1,b,0,1,0
1,0,0,1,0,b,0,1,1,0
1,0,0,b,1,0,1,1,0,0
1,0,0,b,0,1,1,0,1,0
1,0,0,b,0,1,0,1,1,0
1,0,b,1,0,1,0,0,1,0
1,0,b,1,0,1,b,0,b,0
1,0,b,1,0,b,b,0,1,0
1,0,b,0,0,1,1,0,1,0
1,0,b,b,0,1,1,0,b,0
1,0,b,b,0,1,b,0,1,0
1,0,b,b,0,b,1,0,1,0
1,b,1,1,1,0,0,0,0,0
1,b,1,1,0,1,0,0,0,0
1,b,1,1,b,b,0,0,0,0
1,b,1,0,1,1,0,0,0,0
1,b,1,0,0,0,1,1,0,0
1,b,1,0,0,0,1,0,1,0
1,b,1,0,0,0,1,b,b,0
1,b,1,0,0,0,0,1,1,0
1,b,1,0,0,0,b,1,b,0
1,b,1,0,0,0,b,b,1,0
1,b,1,b,1,b,0,0,0,0
1,b,1,b,b,1,0,0,0,0
1,b,0,1,1,0,0,1,0,0
1,b,0,1,1,0,b,b,0,0
1,b,0,1,0,1,0,1,0,0
1,b,0,1,0,1,0,0,1,0
1,b,0,1,0,1,0,b,b,0
1,b,0,1,0,0,0,1,1,0
1,b,0,1,0,b,0,1,b,0
1,b,0,1,0,b,0,b,1,0
1,b,0,1,b,0,b,1,0,0
1,b,0,0,1,0,1,1,0,0
1,b,0,0,0,1,0,1,1,0
1,b,0,b,1,0,1,b,0,0
1,b,0,b,1,0,b,1,0,0
1,b,0,b,0,1,0,1,b,0
1,b,0,b,0,1,0,b,1,0
1,b,0,b,0,b,0,1,1,0
1,b,0,b,b,0,1,1,0,0
1,b,b,1,1,b,0,0,0,0
1,b,b,1,b,1,0,0,0,0
1,b,b,0,0,0,1,1,b,0
1,b,b,0,0,0,1,b,1,0
1,b,b,0,0,0,b,1,1,0
1,b,b,b,1,1,0,0,0,0
0,1,1,1,1,b,0,0,0,0
0,1,1,1,0,1,0,b,0,0
0,1,1,1,0,1,b,0,0,0
0,1,1,1,0,0,1,b,0,0
0,1,1,1,0,0,b,1,0,0
0,1,1,1,0,b,1,0,0,0
0,1,1,1,0,b,0,1,0,0
0,1,1,1,0,b,b,b,0,0
0,1,1,1,b,1,0,0,0,0
0,1,1,0,1,1,0,0,b,0
0,1,1,0,1,1,0,b,0,0
0,1,1,0,1,0,0,b,1,0
0,1,1,0,1,b,0,0,1,0
0,1,1,0,1,b,0,b,b,0
0,1,1,0,0,1,1,b,0,0
0,1,1,0,0,1,0,1,b,0
0,1,1,0,0,1,b,1,0,0
0,1,1,0,0,0,1,1,b,0
0,1,1,0,0,0,1,b,1,0
0,1,1,0,0,0,b,1,1,0
0,1,1,0,0,b,1,1,0,0
0,1,1,0,0,b,0,1,1,0
0,1,1,0,b,1,0,1,0,0
0,1,1,0,b,1,0,b,b,0
0,1,1,0,b,0,0,1,1,0
0,1,1,0,b,b,0,1,b,0
0,1,1,0,b,b,0,b,1,0
0,1,1,b,1,1,0,0,0,0
0,1,1,b,0,1,1,0,0,0
0,1,1,b,0,1,0,1,0,0
0,1,1,b,0,1,b,b,0,0
0,1,1,b,0,0,1,1,0,0
0,1,1,b,0,b,1,b,0,0
0,1,1,b,0,b,b,1,0,0
0,1,0,1,1,0,1,b,0,0
0,1,0,1,0,1,1,b,0,0
0,1,0,1,0,1,0,1,b,0
0,1,0,1,0,1,0,b,1,0
0,1,0,1,0,1,b,1,0,0
0,1,0,1,0,b,1,1,0,0
0,1,0,1,0,b,0,1,1,0
0,1,0,1,b,0,1,1,0,0
0,1,0,0,1,1,0,b,1,0
0,1,0,0,b,1,0,1,1,0
0,1,0,b,0,1,1,1,0,0
0,1,0,b,0,1,0,1,1,0
0,1,b,1,0,1,1,0,0,0
0,1,b,1,0,1,0,1,0,0
0,1,b,1,0,1,b,b,0,0
0,1,b,1,0,0,1,1,0,0
0,1,b,1,0,b,1,b,0,0
0,1,b,1,0,b,b,1,0,0
0,1,b,0,1,1,0,0,1,0
0,1,b,0,1,1,0,b,b,0
0,1,b,0,1,b,0,b,1,0
0,1,b,0,0,1,1,1,0,0
0,1,b,0,0,1,0,1,1,0
0,1,b,0,b,1,0,1,b,0
0,1,b,0,b,1,0,b,1,0
0,1,b,0,b,b,0,1,1,0
0,1,b,b,0,1,1,b,0,0
0,1,b,b,0,1,b,1,0,0
0,1,b,b,0,b,1,1,0,0
0,0,1,1,0,1,1,0,b,0
0,0,1,1,0,1,1,b,0,0
0,0,1,1,0,1,b,1,0,0
0,0,1,1,0,b,1,1,0,0
0,0,1,1,0,b,1,0,1,0
0,0,1,0,1,1,0,1,b,0
0,0,1,0,1,b,0,1,1,0
0,0,1,b,0,1,1,1,0,0
0,0,0,1,1,0,1,1,b,0
0,0,0,1,1,0,1,b,1,0
0,0,0,1,1,0,b,1,1,0
0,0,0,1,1,b,1,1,0,0
0,0,0,1,1,b,1,0,1,0
0,0,0,1,1,b,1,b,b,0
0,0,0,1,1,b,0,1,1,0
0,0,0,1,1,b,b,1,b,0
0,0,0,1,1,b,b,b,1,0
0,0,0,1,0,1,1,1,b,0
0,0,0,1,0,1,1,b,1,0
0,0,0,1,0,1,b,1,1,0
0,0,0,1,b,1,1,1,0,0
0,0,0,1,b,1,1,0,1,0
0,0,0,1,b,1,1,b,b,0
0,0,0,1,b,1,0,1,1,0
0,0,0,1,b,1,b,1,b,0
0,0,0,1,b,1,b,b,1,0
0,0,0,1,b,b,1,1,b,0
0,0,0,1,b,b,1,b,1,0
0,0,0,1,b,b,b,1,1,0
0,0,0,0,1,1,1,1,b,0
0,0,0,0,1,1,1,b,1,0
0,0,0,0,1,1,b,1,1,0
0,0,0,b,1,1,1,1,0,0
0,0,0,b,1,1,1,0,1,0
0,0,0,b,1,1,1,b,b,0
0,0,0,b,1,1,0,1,1,0
0,0,0,b,1,1,b,1,b,0
0,0,0,b,1,1,b,b,1,0
0,0,0,b,1,b,1,1,b,0
0,0,0,b,1,b,1,b,1,0
0,0,0,b,1,b,b,1,1,0
0,0,0,b,b,1,1,1,b,0
0,0,0,b,b,1,1,b,1,0
0,0,0,b,b,1,b,1,1,0
0,0,b,1,0,1,1,1,0,0
0,0,b,1,0,1,1,0,1,0
0,0,b,0,1,1,0,1,1,0
0,b,1,1,0,1,1,0,0,0
0,b,1,1,0,1,0,1,0,0
0,b,1,1,0,1,b,b,0,0
0,b,1,1,0,0,1,1,0,0
0,b,1,1,0,b,1,b,0,0
0,b,1,1,0,b,b,1,0,0
0,b,1,0,1,1,0,1,0,0
0,b,1,0,1,1,0,b,b,0
0,b,1,0,1,0,0,1,1,0
0,b,1,0,1,b,0,1,b,0
0,b,1,0,1,b,0,b,1,0
0,b,1,0,0,1,1,1,0,0
0,b,1,0,b,1,0,1,b,0
0,b,1,0,b,b,0,1,1,0
0,b,1,b,0,1,1,b,0,0
0,b,1,b,0,1,b,1,0,0
0,b,1,b,0,b,1,1,0,0
0,b,0,1,1,0,1,1,0,0
0,b,0,1,0,1,1,1,0,0
0,b,0,1,0,1,0,1,1,0
0,b,0,0,1,1,0,1,1,0
0,b,b,1,0,1,1,b,0,0
0,b,b,1,0,1,b,1,0,0
0,b,b,1,0,b,1,1,0,0
0,b,b,0,1,1,0,1,b,0
0,b,b,0,1,1,0,b,1,0
0,b,b,0,1,b,0,1,1,0
0,b,b,0,b,1,0,1,1,0
0,b,b,b,0,1,1,1,0,0
b,1,1,1,1,0,0,0,0,0
b,1,1,1,0,1,0,0,0,0
b,1,1,1,b,b,0,0,0,0
b,1,1,0,1,1,0,0,0,0
b,1,1,0,0,0,1,1,0,0
b,1,1,0,0,0,1,0,1,0
b,1,1,0,0,0,1,b,b,0
b,1,1,0,0,0,0,1,1,0
b,1,1,0,0,0,b,1,b,0
b,1,1,0,0,0,b,b,1,0
b,1,1,b,1,b,0,0,0,0
b,1,1,b,b,1,0,0,0,0
b,1,0,1,1,0,1,0,0,0
b,1,0,1,1,0,b,b,0,0
b,1,0,1,0,1,0,1,0,0
b,1,0,1,0,1,0,0,1,0
b,1,0,1,0,1,0,b,b,0
b,1,0,1,0,0,1,1,0,0
b,1,0,1,0,0,0,1,1,0
b,1,0,1,0,b,0,1,b,0
b,1,0,1,0,b,0,b,1,0
b,1,0,1,b,0,1,b,0,0
b,1,0,1,b,0,b,1,0,0
b,1,0,0,0,1,0,1,1,0
b,1,0,b,1,0,1,b,0,0
b,1,0,b,0,1,0,1,b,0
b,1,0,b,0,1,0,b,1,0
b,1,0,b,0,b,0,1,1,0
b,1,0,b,b,0,1,1,0,0
b,1,b,1,1,b,0,0,0,0
b,1,b,1,b,1,0,0,0,0
b,1,b,0,0,0,1,1,b,0
b,1,b,0,0,0,1,b,1,0
b,1,b,0,0,0,b,1,1,0
b,1,b,b,1,1,0,0,0,0
b,0,1,1,0,1,1,0,0,0
b,0,1,1,0,1,b,0,b,0
b,0,1,1,0,0,1,0,1,0
b,0,1,1,0,b,1,0,b,0
b,0,1,1,0,b,b,0,1,0
b,0,1,b,0,1,1,0,b,0
b,0,1,b,0,b,1,0,1,0
b,0,0,1,1,0,1,1,0,0
b,0,0,1,0,1,1,0,1,0
b,0,0,1,0,1,0,1,1,0
b,0,b,1,0,1,1,0,b,0
b,0,b,1,0,1,b,0,1,0
b,0,b,1,0,b,1,0,1,0
b,0,b,b,0,1,1,0,1,0
b,b,1,1,1,b,0,0,0,0
b,b,1,1,b,1,0,0,0,0
b,b,1,0,0,0,1,1,b,0
b,b,1,0,0,0,1,b,1,0
b,b,1,0,0,0,b,1,1,0
b,b,1,b,1,1,0,0,0,0
b,b,0,1,1,0,1,b,0,0
b,b,0,1,1,0,b,1,0,0
b,b,0,1,0,1,0,1,b,0
b,b,0,1,0,1,0,b,1,0
b,b,0,1,0,b,0,1,1,0
b,b,0,1,b,0,1,1,0,0
b,b,0,b,1,0,1,1,0,0
b,b,0,b,0,1,0,1,1,0
1,1,0,0,1,1,1,0,0,0
1,1,0,0,0,1,1,1,0,0
1,1,0,0,0,1,1,0,1,0
1,0,1,1,1,0,0,1,0,0
1,0,1,1,0,1,0,1,0,0
1,0,1,1,0,0,0,1,1,0
1,0,1,0,1,1,0,1,0,0
1,0,1,0,0,1,1,1,0,0
1,0,0,0,1,1,1,1,0,0
0,1,1,1,1,0,0,0,1,0
0,1,1,1,0,0,1,0,1,0
0,1,1,1,0,0,0,1,1,0
0,1,0,1,1,0,1,0,1,0
0,1,0,1,0,1,1,0,1,0
0,1,0,0,1,1,1,0,1,0
0,0,1,1,1,0,0,1,1,0
